id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,coverage,userCount,alphaCount,pyramidMultiplier,themes
oth466_is_eps_aft_xord,Earnings Per Share After Extraordinary Items,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,60,186,1.1,[]
oth466_is_eps_basic,Basic Earnings Per Share,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,62,169,1.1,[]
oth466_is_eps_basic_ex_xord,Basic Earnings Per Share Excluding Extraordinary Items,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,52,114,1.1,[]
oth466_is_eps_basic_inc_xord,Basic Earnings Per Share Including Extraordinary Items,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,46,106,1.1,[]
oth466_is_eps_basic_q,EPS - Basic,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,83,307,1.1,[]
oth466_is_eps_contin_oper_q,Earnings Per Share from Continuing Operations - Fiscal,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.748,58,146,1.1,[]
oth466_is_eps_dil_aft_xord,Diluted Earnings Per Share Excluding Extraordinary Items,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,44,120,1.1,[]
oth466_is_eps_dil_aft_xord_q,Diluted EPS Including Extraordinary,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,140,622,1.1,[]
oth466_is_exc_tax_q,Excise Taxes Payments,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.5379,6,7,1.1,[]
oth466_is_for_exch_inc,Foreign Exchange Income (Loss),other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.4423,16,35,1.1,[]
oth466_is_gross_inc_q,Gross Profit,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.9997,120,708,1.1,[]
oth466_is_gross_prof,Gross Profit,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.9451,26,47,1.1,[]
oth466_is_inc_common_ex_xord,Income Available To Common Excl Extraordinary Items,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,36,64,1.1,[]
oth466_is_inc_pre_tax,Pretax Income,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,40,73,1.1,[]
oth466_is_inc_tax_curr,Current Income Taxes,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,40,80,1.1,[]
oth466_is_inc_tax_curr_dom,Current Income Taxes - Domestic,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.9775,40,70,1.1,[]
oth466_is_inc_tax_dfd_tot,Total Deferred Income Tax,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,29,41,1.1,[]
oth466_is_inc_tax_exp,Income Taxes - Total,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,42,77,1.1,[]
oth466_is_inc_tax_q,Income Taxes,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,41,78,1.1,[]
oth466_is_int_exp_debt,Total Interest Expenses (Industrials),other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,51,107,1.1,[]
oth466_is_int_exp_debt_q,Interest Expense on Debt,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.8551,53,173,1.1,[]
oth466_is_int_exp_net,"Interest Expense, Net of Interest Capitalized",other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,49,129,1.1,[]
oth466_is_int_exp_net_q,"Interest Expense, Net of Interest Capitalized",other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.8971,60,212,1.1,[]
oth466_is_int_inc_non_oper,Interest Income - Non-Operating,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,32,50,1.1,[]
oth466_is_int_relate_inc,Interest And Related Income - Total,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.814,31,48,1.1,[]
oth466_is_min_int_exp_q,Minority Interest Expense,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.8503,24,33,1.1,[]
oth466_is_min_noncontrol_interest_credits,Minority/Non-Controlling Interests (Credits),other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.9031,36,54,1.1,[]
oth466_is_net_inc,Net Income,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,66,222,1.1,[]
oth466_is_net_inc_basic_aft_xord_q,Net Income Available to Common - Basic - After Extraordinaries,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,96,374,1.1,[]
