Field,Description,Type,Coverage,Date Coverage,Alphas,__page
anl14_low_capex_fp1,The Lowest Estimation of Capital Expenditures - upcoming quarter,Matrix,1.5,50%,100%,4
anl14_low_capex_fp2,The Lowest Estimation of Capital Expenditures - upcoming 2 quarters,Matrix,1.5,50%,100%,4
anl14_low_capex_fp3,The Lowest Estimation of Capital Expenditures - upcoming 3 quarters,Matrix,1.5,50%,100%,4
anl14_low_capex_fp4,The lowest estimation of capital expenditures - upcoming 4 quarters,Matrix,1.5,50%,100%,4
anl14_low_capex_fp5,The lowest estimation of Capital Expenditures - upcoming 5 quarters,Matrix,1.5,50%,100%,4
anl14_low_capex_fy1,The lowest estimation of capital expenditures - upcoming year,Matrix,1.5,50%,100%,4
anl14_low_capex_fy2,The Lowest Estimation of Capital Expenditures - Upcoming 2 Years,Matrix,1.5,50%,100%,4
anl14_low_capex_fy3,The Lowest estimation of Capital Expenditures - upcoming 3 years,Matrix,1.5,50%,100%,4
anl14_low_capex_fy4,The Lowest Estimation of Capital Expenditures - upcoming 4 years,Matrix,1.5,50%,100%,4
anl14_low_capex_fy5,The Lowest Estimation of Capital Expenditures - upcoming 5 years,Matrix,1.5,50%,100%,4
anl14_low_cfps_fp1,The lowest estimation of cash flow per share - upcoming quarter,Matrix,1.5,50%,100%,4
anl14_low_cfps_fp2,The lowest estimation of Cash Flow Per Share - upcoming 2 quarters,Matrix,1.5,50%,100%,4
anl14_low_cfps_fp3,The lowest estimation of Cash Flow Per Share - upcoming 3 quarters,Matrix,1.5,50%,100%,4
anl14_low_cfps_fp4,The Lowest Estimation of Cash Flow Per Share - upcoming 4 quarters,Matrix,1.5,50%,100%,4
anl14_low_cfps_fy1,The lowest estimation of cash flow per share - upcoming year,Matrix,1.5,50%,100%,4
anl14_low_cfps_fy2,The Lowest Estimation of Cash Flow Per Share - upcoming 2 years,Matrix,1.5,50%,100%,4
anl14_low_cfps_fy3,The Lowest Estimation of Cash Flow Per Share - Upcoming 3 Years,Matrix,1.5,50%,100%,4
anl14_low_cfps_fy4,The Lowest Estimation of Cash Flow Per Share - upcoming 4 years,Matrix,1.5,50%,100%,4
anl14_low_div_fp1,The Lowest Estimation of Dividend - Upcoming Quarter,Matrix,1.5,50%,100%,4
anl14_low_div_fp2,The Lowest Estimation of Dividend - Upcoming 2 Quarters,Matrix,1.5,50%,100%,4
anl14_low_div_fp3,The lowest estimation of dividend - upcoming 3 quarters,Matrix,1.5,50%,100%,4
anl14_low_div_fp4,The Lowest Estimation of Dividend - Upcoming 4 Quarters,Matrix,1.5,50%,100%,5
anl14_low_div_fp5,The lowest estimation of dividend - upcoming 5 quarters,Matrix,1.5,50%,100%,5
anl14_low_div_fy1,The lowest estimation of dividend - upcoming year,Matrix,1.5,50%,100%,5
anl14_low_div_fy2,The Lowest Estimation of Dividend - Upcoming 2 Years,Matrix,1.5,50%,100%,5
anl14_low_div_fy3,The lowest estimation of Dividend - upcoming 3 years,Matrix,1.5,50%,100%,5
anl14_low_div_fy4,The lowest estimation of Dividend - upcoming 4 years,Matrix,1.5,50%,100%,5
anl14_low_div_fy5,The Lowest Estimation of Dividend - upcoming 5 years,Matrix,1.5,50%,100%,5
anl14_low_ebit_fp1,The lowest estimation of earnings before interest & taxes - upcoming quarter,Matrix,1.5,50%,100%,5
anl14_low_ebit_fp2,The Lowest estimation of Earnings Before Interest & Taxes - upcoming 2 quarters,Matrix,1.5,50%,100%,5
anl14_low_ebit_fp3,The Lowest Estimation of Earnings Before Interest & Taxes - Upcoming 3 Quarters,Matrix,1.5,50%,100%,5
anl14_low_ebit_fp4,The Lowest Estimation of Earnings Before Interest & Taxes - Upcoming 4 Quarters,Matrix,1.5,50%,100%,5
anl14_low_ebit_fp5,The Lowest estimation of Earnings Before Interest & Taxes - upcoming 5 quarters,Matrix,1.5,50%,100%,5
anl14_low_ebit_fy1,The Lowest Estimation of Earnings Before Interest & Taxes - upcoming year,Matrix,1.5,50%,100%,5
anl14_low_ebit_fy2,The lowest estimation of earnings before interest & taxes - upcoming 2 years,Matrix,1.5,50%,100%,5
